x,y,z,tx,ty,tz,qx,qy,qz,nx,ny,nz,s,kappa,psi,theta,phi
-4.34787988663,2.40400004387,1,0.713886063125,-0.698478939816,-0.0499385573374,0.699331977202,0.714796817027,-0.000544086972418,0,0,1,0,0.0952040098768,-0.0101849168735,0.0249855103784,-0.774107920583
-4.27481855653,2.33339408135,0.994919436716,0.723497726362,-0.688517726741,-0.0499437674964,0.689372191901,0.724407312892,-0.00016143855936,0,0,1,0.101602952218,0.181959184341,-0.00998468346939,0.0249880444283,-0.760255663971
-4.19851053802,2.26231447709,0.989705317301,0.738454796361,-0.672453907831,-0.0499024606071,0.673557634854,0.739094458509,0.00771323092867,0,0,1,0.205887293471,0.216383864002,-0.00965976511574,0.0249672344206,-0.738291267414
-4.12385446299,2.19576486681,0.984737019553,0.752525976538,-0.656739825522,-0.0489638255236,0.657363671243,0.74459277663,0.11599396847,0,0,1,0.305899193591,0.212212586108,-0.0091819201375,0.0244969284584,-0.717196121871
-4.04655339351,2.12975542751,0.980012499309,0.76672104445,-0.640591126424,-0.0422119502441,0.5703875964,0.649568376905,0.502711561035,0,0,1,0.407549089907,0.24415641847,-0.00765744196608,0.0211155297333,-0.695769654817
-3.96910285516,2.06642493992,0.976609710204,0.780572511973,-0.624600965275,-0.0240870863502,0.447925366347,0.53206975326,0.718515583581,0,0,1,0.507595761761,0.304114903103,-0.00422554887688,0.0120453062429,-0.674776246468
-3.88943037028,2.0040607571,0.975201218589,0.794010537363,-0.607878813369,-0.00553306545862,0.534106676492,0.693245054212,0.483881548457,0,0,1,0.608773803577,0.243597817242,-0.000937415941419,0.00276655396263,-0.653394259992
-3.80890921567,1.94378736762,0.975004042775,0.807090294196,-0.590427988242,-0.000218437350114,0.589817664569,0.806239079008,0.0457566393238,0,0,1,0.709354804863,0.221961610486,-3.56848597086e-05,0.000109218676355,-0.631589035025
-3.72627819334,1.88478024776,0.97500002401,0.8205632787,-0.571555689018,-3.41724757303e-08,0.571555688834,0.820563278435,2.54042208656e-05,0,0,1,0.810891625988,0.23925905334,-5.36412909675e-09,1.70862378652e-08,-0.608400485589
-3.64315673764,1.82845111965,0.975000023842,0.835300857287,-0.549793122743,0,0.549793122743,0.835300857287,0,0,0,1,0.911301521278,0.270667522114,-0,-0,-0.582116549719
-3.55852283942,1.7742090912,0.975000023842,0.847466150825,-0.530849435533,0,0.530849435533,0.847466150825,0,0,0,1,1.01182561977,0.168705407607,-0,-0,-0.5596025749
-3.47228417371,1.72104966891,0.975000023842,0.854499348315,-0.519452465321,0,0.519452465321,0.854499348315,0,0,0,1,1.11313224167,0.1090588272,-0,-0,-0.546210059164
-3.3857636398,1.66908300804,0.975000023842,0.859973163351,-0.510339258058,0,0.510339258058,0.859973163351,0,0,0,1,1.21405962463,0.105973504608,-0,-0,-0.535579242543
-3.29875344885,1.6180398405,0.975000023842,0.864711144104,-0.502269486692,0,0.502269486692,0.864711144104,0,0,0,1,1.31493666999,0.0619705514191,-0,-0,-0.526221341573
-3.2108942491,1.567215811,0.975000023842,0.86599350396,-0.500055248047,0,0.500055248047,0.86599350396,0,0,0,1,1.41643701953,0.00344424469266,-0,-0,-0.523662571723
-3.12367471009,1.51686751586,0.975000023842,0.866198762789,-0.49969961311,0,0.49969961311,0.866198762789,0,0,0,1,1.51714550383,0.0124473717728,-0,-0,-0.523251953412
-3.03531669637,1.46606433155,0.975000023842,0.868139936404,-0.496319504775,0,0.496319504775,0.868139936404,0,0,0,1,1.61906754326,0.0724084524713,-0,-0,-0.519354094179
-2.94666513156,1.41603282074,0.975000023842,0.874761416865,-0.484553880971,0,0.484553880971,0.874761416865,0,0,0,1,1.72086269059,0.217046600451,-0,-0,-0.505853106226
-2.85673797947,1.36814965892,0.975000023842,0.893658475802,-0.44874773384,0,0.44874773384,0.893658475802,0,0,0,1,1.82274345358,0.655100009878,-0,-0,-0.465363564776
-2.76502166764,1.32716800022,0.975000023842,0.934630637832,-0.355619980913,0,0.355619980913,0.934630637832,0,0,0,1,1.9231993056,1.30679704412,-0,-0,-0.363577326865
